"code","task","closeness","degree","score","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
"0001",1,"high","low",8,"lenient",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"low","low",4,"strict",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"low","high",7,"lenient",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"high","high",7,"lenient",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"low","low",4,"lenient",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"trial","trial",4,"strict",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"high","high",7,"strict",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"low","high",7,"strict",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"trial","trial",4,"lenient",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0001",1,"high","low",8,"strict",22,"female","Chinese","jc",2,"Chinese, some japanese, some spanish","yes","no","computer","no","no"
"0017",1,"low","low",6,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"high","low",7,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"low","high",5,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"trial","trial",4,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"low","high",5,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"high","high",4,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"trial","trial",4,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"low","low",6,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"high","low",7,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0017",1,"high","high",7,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer",",,","yes"
"0051",2,"trial","trial",3,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"trial","trial",3,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"high","high",10,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"high","low",10,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"low","high",10,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"high","high",10,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"high","low",10,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"low","low",10,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"low","low",10,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0051",2,"low","high",10,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer",",,","yes"
"0075",1,"high","high",5,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"high","high",5,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"low","high",4,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"low","high",4,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"low","low",5,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"low","low",5,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"trial","trial",4,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"trial","trial",4,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"high","high",4,"strict",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"high","high",4,"strict",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"trial","trial",4,"strict",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"trial","trial",4,"strict",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
"0075",1,"high","low",7,"lenient",20,"female","Indian","jc",2,"tamil","yes","no","computer",",","yes"
