"code","task","A1_B1","A1_B2","A2_B1","A2_B2","trial","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
38782,1,8,10,9,9,2,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
38782,1,8,10,9,9,2,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
38785,1,9,8,10,9,3,"lenient",18,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
38785,1,9,8,10,9,3,"lenient",18,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
38785,1,9,8,10,9,3,"strict",18,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
38785,1,9,8,10,9,3,"strict",18,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
38789,1,8,7,9,8,3,"lenient",21,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","no","no"
38789,1,8,7,9,8,3,"lenient",21,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","no","no"
38789,1,8,7,9,8,3,"strict",21,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","no","no"
38789,1,8,7,9,8,3,"strict",21,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","no","no"
39038,1,1,2,4,1,3,"lenient",19,"female","Chinese","jc",2,"chinese","yes","no","computer","yes","no"
39038,1,1,2,4,1,3,"strict",19,"female","Chinese","jc",2,"chinese","yes","no","computer","yes","no"
39058,1,4,3,2,5,3,"strict",19,"female","Indian","jc",3,"Malayalam, HIndi/Urdu","yes","no","computer","yes","no"
39058,1,4,3,3,5,3,"lenient",19,"female","Indian","jc",3,"Malayalam, HIndi/Urdu","yes","no","computer","yes","no"
39059,1,4,3,4,4,3,"lenient",20,"female","Chinese","no",2,"Mandarin","yes","no","computer","no","no"
39059,1,4,3,4,4,3,"strict",20,"female","Chinese","no",2,"Mandarin","yes","no","computer","no","no"
39082,1,2,6,6,7,3,"strict",19,"male","Chinese","jc",2,"Indonesian","yes","no","computer","no","no"
39082,1,2,6,6,7,3,"strict",19,"male","Chinese","jc",2,"Indonesian","yes","no","computer","no","no"
39082,1,3,7,6,7,3,"lenient",19,"male","Chinese","jc",2,"Indonesian","yes","no","computer","no","no"
39082,1,3,7,6,7,3,"lenient",19,"male","Chinese","jc",2,"Indonesian","yes","no","computer","no","no"
39112,1,2,0,5,2,1,"lenient",18,"female","Chinese","jc",3,"Mandarin, Korean","yes","no","computer","no","no"
39112,1,1,0,5,1,1,"strict",18,"female","Chinese","jc",3,"Mandarin, Korean","yes","no","computer","no","no"
39129,1,5,9,6,6,3,"lenient",22,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
39129,1,5,9,6,6,3,"lenient",22,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
39129,1,5,9,5,5,3,"strict",22,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
39129,1,5,9,5,5,3,"strict",22,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
39148,1,2,5,3,4,3,"lenient",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
39148,1,2,5,3,4,3,"lenient",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
39148,1,2,5,3,4,3,"strict",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
39148,1,2,5,3,4,3,"strict",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
39185,1,6,3,6,3,3,"strict",20,"male","Others","jc",2,"Vietnamese","no","no","computer","no","no"
39185,1,6,3,6,3,3,"lenient",20,"male","Others","jc",2,"Vietnamese","no","no","computer","no","no"
39191,1,1,5,5,5,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39191,1,1,5,5,5,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39275,1,4,6,4,3,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39275,1,4,6,4,3,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39275,1,4,6,4,4,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39275,1,4,6,4,4,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39293,1,7,8,9,9,3,"lenient",21,"female","Malay","jc",3,"Malay, Arabic","yes","no","computer","not significant","no"
39293,1,7,8,9,9,3,"strict",21,"female","Malay","jc",3,"Malay, Arabic","yes","no","computer","not significant","no"
39296,1,1,1,2,3,3,"lenient",20,"female","Indian","jc",2,"Malay","yes","no","computer","no","no"
39296,1,1,1,2,3,3,"strict",20,"female","Indian","jc",2,"Malay","yes","no","computer","no","no"
39301,1,4,7,6,6,3,"lenient",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39301,1,4,7,6,6,3,"lenient",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39301,1,3,7,6,6,3,"strict",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39301,1,3,7,6,6,3,"strict",22,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39305,1,8,10,10,9,3,"lenient",19,"female","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39305,1,8,10,10,9,3,"lenient",19,"female","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39305,1,8,10,10,9,3,"strict",19,"female","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39305,1,8,10,10,9,3,"strict",19,"female","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39315,1,8,7,8,9,3,"strict",20,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","no","no"
39315,1,8,7,8,9,3,"strict",20,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","no","no"
39315,1,9,8,9,9,3,"lenient",20,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","no","no"
39315,1,9,8,9,9,3,"lenient",20,"male","Chinese","jc",2,"Mandarin ","yes","no","computer","no","no"
39322,1,9,10,9,8,3,"strict",24,"male","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39322,1,9,10,9,8,3,"strict",24,"male","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39322,1,9,10,9,8,3,"lenient",24,"male","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39322,1,9,10,9,8,3,"lenient",24,"male","Chinese","jc",3,"Chinese, Japanese","yes","no","computer","no","no"
39401,1,9,9,9,9,1,"lenient",19,"female","Chinese","jc",2," Mandarin","yes","no","computer","no","no"
39401,1,9,9,9,9,1,"lenient",19,"female","Chinese","jc",2," Mandarin","yes","no","computer","no","no"
39401,1,8,9,9,9,1,"strict",19,"female","Chinese","jc",2," Mandarin","yes","no","computer","no","no"
39401,1,8,9,9,9,1,"strict",19,"female","Chinese","jc",2," Mandarin","yes","no","computer","no","no"
39558,1,9,5,6,5,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39558,1,9,5,6,5,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39558,1,9,5,5,5,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39558,1,9,5,5,5,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39566,1,6,5,2,6,3,"lenient",22,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39566,1,6,5,2,6,3,"lenient",22,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39566,1,6,5,2,6,3,"strict",22,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39566,1,6,5,2,6,3,"strict",22,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39654,1,2,4,3,4,3,"lenient",21,"female","Malay","bachelor",2,"Malay","yes","no","computer","no","no"
39654,1,2,4,3,4,3,"strict",21,"female","Malay","bachelor",2,"Malay","yes","no","computer","no","no"
39717,1,5,6,7,6,3,"lenient",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
39717,1,5,4,7,6,3,"strict",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
39754,1,9,9,9,9,3,"strict",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39754,1,9,9,9,9,3,"strict",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39754,1,9,9,9,9,3,"lenient",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39754,1,9,9,9,9,3,"lenient",21,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39777,1,4,3,3,3,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39777,1,4,3,3,3,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39780,1,3,4,3,4,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39780,1,3,4,3,4,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
39956,2,10,10,10,10,3,"lenient",25,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39956,2,10,10,10,10,3,"lenient",25,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39956,2,9,9,9,8,3,"strict",25,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39956,2,9,9,9,8,3,"strict",25,"male","Chinese","jc",2,"chinese","yes","no","computer","no","no"
39957,2,10,10,10,10,2,"lenient",19,"male","Chinese","jc",3,"Mandarin, Indonesian","no","no","computer","yes","no"
39957,2,10,10,10,10,2,"lenient",19,"male","Chinese","jc",3,"Mandarin, Indonesian","no","no","computer","yes","no"
39957,2,9,9,10,10,2,"strict",19,"male","Chinese","jc",3,"Mandarin, Indonesian","no","no","computer","yes","no"
