Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
spawn,5,1.97,3.9,0.51,11.25,2318
speak,5,3.98,3.7,0.64,3.56,4638
speaker,7,2.55,4.69,0.63,6.11,11698
speakers,8,2,4.93,0.62,6.11,13167
speaking,8,3.55,3.83,0.66,3.56,15878
spear,5,2.37,5,0.56,7.22,7272
spearmint,9,0.85,4.7,0.27,7.16,19140
special,7,3.88,1.76,0.69,5,8964
specialist,10,2.42,3,0.63,10.05,18036
specialty,9,2.44,2.43,0.6,9.05,10037
species,7,2.84,3.36,0.61,8.32,10522
specific,8,2.96,2.18,0.67,9.28,8375
speck,5,1.98,4.46,0.33,8.48,4736
speckled,8,1.32,3.59,0.39,9.26,12774
spectacle,9,2.12,3.45,0.5,9.37,12269
spectacles,10,1.63,4.56,0.41,9.37,16758
spectacular,11,2.46,1.82,0.6,8.95,14950
spectrum,8,2.05,2.97,0.62,12.2,7915
speculate,9,1.8,1.68,0.47,11.28,16081
speech,6,3.29,3.37,0.66,6.22,6181
speechless,10,1.95,2.41,0.32,8.68,15728
speeding,8,2.41,3.63,0.49,5.11,20538
speedometer,11,1.11,4.78,0.38,9.35,23304
speedy,6,2,2.93,0.53,6.63,7997
spell,5,3.27,3.32,0.6,5.06,5843
spelling,8,2.41,3.63,0.59,5.86,19405
spend,5,3.68,2.93,0.62,6.44,8070
spending,8,3.1,3.31,0.63,6.44,20761
spent,5,3.55,3,0.66,6.44,9326
sperm,5,2.5,4.82,0.56,11.14,9237
spew,4,1.4,3.2,0.2,8.67,2801
sphere,6,2.1,4.44,0.6,8.26,13834
spherical,9,1,3.83,0.57,12.17,19325
sphinx,6,1.72,4.83,0.4,10.22,9374
spice,5,2.43,4.54,0.55,6.78,5574
spices,6,2.06,4.66,0.57,6.69,10063
spicy,5,2.23,3.31,0.51,5.06,4118
spider,6,2.71,4.97,0.58,3.43,11259
spies,5,2.37,#,0.56,8,7392
spike,5,2.8,4.52,0.6,7.58,2638
spikes,6,1.86,#,0.53,7.58,7127
spiky,5,1.08,4.07,0.31,7.67,1833
