"","id","total_degree","in_degree","out_degree","total_closeness_lcc","label","scaled"
"1",1,51,17,34,3.37397852800065e-06,"although",0.26046374188839
"2",2,94,52,42,3.71319297463889e-06,"deal",0.499086235483765
"3",3,679,632,47,4.0831825958425e-06,"music",0.759357715342548
"4",4,48,15,33,3.43942822945114e-06,"inform",0.306504737842327
"5",5,137,97,40,3.77994662715362e-06,"way",0.546044503852129
"6",6,95,65,30,3.64270857238608e-06,"none",0.449503548213722
"7",7,106,68,38,3.67398524527526e-06,"extra",0.471505316564527
"8",8,136,92,44,3.7746674517975e-06,"will",0.54233083540407
"9",9,552,514,38,4.01558045215436e-06,"paper",0.711802570627674
"10",10,42,4,38,3.62859185235986e-06,"w",0.439573054487909
"11",11,92,55,37,3.65549182814802e-06,"contract",0.458496008282599
"12",12,52,23,29,3.63935452408161e-06,"concern",0.447144122257709
"13",13,100,73,27,3.69689867170431e-06,"town",0.487623907637229
"14",14,94,62,32,3.70305909712013e-06,"couple",0.4919574968723
"15",15,321,282,39,3.98765422252706e-06,"mind",0.692157692243438
"16",16,115,85,30,3.48870879398826e-06,"maybe",0.341171454758946
"17",17,163,126,37,3.79944983966322e-06,"read",0.55976415892072
"18",18,143,107,36,3.75775977393317e-06,"board",0.530437025182021
"19",19,148,107,41,3.77063953817207e-06,"check",0.539497374733948
"20",20,32,7,25,3.38784373909538e-06,"v",0.2702173101059
"21",21,46,18,28,3.61212953096498e-06,"occasion",0.427992533019722
"22",22,123,86,37,3.70631184907898e-06,"real",0.494245665289537
"23",23,112,69,43,3.69374427469637e-06,"seat",0.48540492761653
"24",24,175,138,37,3.9066772928289e-06,"chair",0.635193971860156
"25",25,55,16,39,3.6125993013233e-06,"provide",0.428322995874206
"26",26,74,32,42,3.66249386532278e-06,"budget",0.463421634497658
"27",27,211,160,51,3.90004953062904e-06,"land",0.630531631683426
"28",28,68,35,33,3.63750118218788e-06,"village",0.445840377477532
"29",29,71,31,40,3.72472772240349e-06,"feed",0.507200424905415
"30",30,42,14,28,3.57649953684331e-06,"exist",0.402928394011607
"31",31,80,40,40,3.74509392695569e-06,"Sunday",0.52152715704634
"32",32,49,21,28,3.56773341895894e-06,"wee",0.396761814346587
"33",33,286,248,38,3.786000128724e-06,"glass",0.550302876848984
"34",34,95,68,27,3.79900238197449e-06,"sister",0.559449392051207
"35",35,129,86,43,3.74370589446493e-06,"know",0.520550737034108
"36",36,66,20,46,3.53992325446384e-06,"claim",0.377198582695096
"37",37,94,57,37,3.62376610764035e-06,"stairs",0.436178354616381
"38",38,554,516,38,4.2435455671923e-06,"dog",0.872166036105671
"39",39,104,73,31,3.70491123032692e-06,"key",0.493260391394203
"40",40,123,88,35,3.79125357799556e-06,"all",0.553998448124265
"41",41,99,62,37,3.70046921949703e-06,"grand",0.490135631492876
"42",42,128,89,39,3.74939072400735e-06,"carry",0.524549765420193
"43",43,44,11,33,3.33483400863722e-06,"recent",0.232927288433461
"44",44,119,84,35,3.7701419835471e-06,"simple",0.539147366865809
"45",45,45,10,35,3.55781991027178e-06,"e",0.389788095548193
"46",46,118,77,41,3.82216242661448e-06,"set",0.575741468224685
"47",47,60,18,42,3.69378520639025e-06,"across",0.485433721268911
